game,draw_id,tier_code,tier_name,ordinal,number
lotto535,00779,main,Main numbers,2,12
lotto535,00779,main,Main numbers,3,17
lotto535,00779,main,Main numbers,4,25
lotto535,00779,main,Main numbers,5,28
lotto535,00779,bonus,Bonus numbers,1,6
lotto535,00780,main,Main numbers,1,4
lotto535,00780,main,Main numbers,2,5
lotto535,00780,main,Main numbers,3,13
lotto535,00780,main,Main numbers,4,26
lotto535,00780,main,Main numbers,5,29
lotto535,00780,bonus,Bonus numbers,1,7
lotto535,00781,main,Main numbers,1,11
lotto535,00781,main,Main numbers,2,13
lotto535,00781,main,Main numbers,3,20
lotto535,00781,main,Main numbers,4,34
lotto535,00781,main,Main numbers,5,35
lotto535,00781,bonus,Bonus numbers,1,8
lotto535,00782,main,Main numbers,1,7
lotto535,00782,main,Main numbers,2,20
lotto535,00782,main,Main numbers,3,29
lotto535,00782,main,Main numbers,4,31
lotto535,00782,main,Main numbers,5,32
lotto535,00782,bonus,Bonus numbers,1,2
lotto535,00783,main,Main numbers,1,2
lotto535,00783,main,Main numbers,2,8
lotto535,00783,main,Main numbers,3,12
lotto535,00783,main,Main numbers,4,14
lotto535,00783,main,Main numbers,5,19
lotto535,00783,bonus,Bonus numbers,1,12
lotto535,00784,main,Main numbers,1,1
lotto535,00784,main,Main numbers,2,5
lotto535,00784,main,Main numbers,3,12
lotto535,00784,main,Main numbers,4,14
lotto535,00784,main,Main numbers,5,23
lotto535,00784,bonus,Bonus numbers,1,1
lotto535,00785,main,Main numbers,1,4
lotto535,00785,main,Main numbers,2,7
lotto535,00785,main,Main numbers,3,10
lotto535,00785,main,Main numbers,4,25
lotto535,00785,main,Main numbers,5,27
lotto535,00785,bonus,Bonus numbers,1,9
lotto535,00786,main,Main numbers,1,9
lotto535,00786,main,Main numbers,2,13
lotto535,00786,main,Main numbers,3,15
lotto535,00786,main,Main numbers,4,22
lotto535,00786,main,Main numbers,5,32
lotto535,00786,bonus,Bonus numbers,1,12
lotto535,00787,main,Main numbers,1,10
lotto535,00787,main,Main numbers,2,13
lotto535,00787,main,Main numbers,3,18
lotto535,00787,main,Main numbers,4,21
lotto535,00787,main,Main numbers,5,27
lotto535,00787,bonus,Bonus numbers,1,1
lotto535,00788,main,Main numbers,1,7
lotto535,00788,main,Main numbers,2,16
lotto535,00788,main,Main numbers,3,28
lotto535,00788,main,Main numbers,4,34
lotto535,00788,main,Main numbers,5,35
lotto535,00788,bonus,Bonus numbers,1,9
lotto535,00789,main,Main numbers,1,13
lotto535,00789,main,Main numbers,2,17
lotto535,00789,main,Main numbers,3,23
lotto535,00789,main,Main numbers,4,33
lotto535,00789,main,Main numbers,5,35
lotto535,00789,bonus,Bonus numbers,1,10
lotto535,00790,main,Main numbers,1,7
lotto535,00790,main,Main numbers,2,12
lotto535,00790,main,Main numbers,3,20
lotto535,00790,main,Main numbers,4,21
lotto535,00790,main,Main numbers,5,26
lotto535,00790,bonus,Bonus numbers,1,9
lotto535,00791,main,Main numbers,1,11
lotto535,00791,main,Main numbers,2,15
lotto535,00791,main,Main numbers,3,19
lotto535,00791,main,Main numbers,4,22
lotto535,00791,main,Main numbers,5,25
lotto535,00791,bonus,Bonus numbers,1,5
lotto535,00792,main,Main numbers,1,19
lotto535,00792,main,Main numbers,2,20
lotto535,00792,main,Main numbers,3,22
lotto535,00792,main,Main numbers,4,29
lotto535,00792,main,Main numbers,5,35
lotto535,00792,bonus,Bonus numbers,1,3
lotto535,00793,main,Main numbers,1,4
lotto535,00793,main,Main numbers,2,10
lotto535,00793,main,Main numbers,3,11
lotto535,00793,main,Main numbers,4,16
lotto535,00793,main,Main numbers,5,18
lotto535,00793,bonus,Bonus numbers,1,3
lotto535,00794,main,Main numbers,1,5
lotto535,00794,main,Main numbers,2,12
lotto535,00794,main,Main numbers,3,24
lotto535,00794,main,Main numbers,4,28
lotto535,00794,main,Main numbers,5,34
lotto535,00794,bonus,Bonus numbers,1,3
lotto535,00795,main,Main numbers,1,2
lotto535,00795,main,Main numbers,2,21
lotto535,00795,main,Main numbers,3,27
lotto535,00795,main,Main numbers,4,28
lotto535,00795,main,Main numbers,5,33
lotto535,00795,bonus,Bonus numbers,1,3
lotto535,00796,main,Main numbers,1,15
lotto535,00796,main,Main numbers,2,17
lotto535,00796,main,Main numbers,3,21
lotto535,00796,main,Main numbers,4,28
lotto535,00796,main,Main numbers,5,29
lotto535,00796,bonus,Bonus numbers,1,8
lotto535,00797,main,Main numbers,1,5
lotto535,00797,main,Main numbers,2,8
lotto535,00797,main,Main numbers,3,13
lotto535,00797,main,Main numbers,4,32
lotto535,00797,main,Main numbers,5,34
lotto535,00797,bonus,Bonus numbers,1,4
lotto535,00798,main,Main numbers,1,6
lotto535,00798,main,Main numbers,2,9
lotto535,00798,main,Main numbers,3,20
lotto535,00798,main,Main numbers,4,23
lotto535,00798,main,Main numbers,5,33
lotto535,00798,bonus,Bonus numbers,1,10
lotto535,00799,main,Main numbers,1,7
lotto535,00799,main,Main numbers,2,9
lotto535,00799,main,Main numbers,3,32
lotto535,00799,main,Main numbers,4,33
lotto535,00799,main,Main numbers,5,35
lotto535,00799,bonus,Bonus numbers,1,9
lotto535,00800,main,Main numbers,1,11
lotto535,00800,main,Main numbers,2,18
lotto535,00800,main,Main numbers,3,26
lotto535,00800,main,Main numbers,4,28
lotto535,00800,main,Main numbers,5,31
lotto535,00800,bonus,Bonus numbers,1,12
lotto535,00801,main,Main numbers,1,2
lotto535,00801,main,Main numbers,2,9
lotto535,00801,main,Main numbers,3,12
lotto535,00801,main,Main numbers,4,21
lotto535,00801,main,Main numbers,5,25
lotto535,00801,bonus,Bonus numbers,1,10
lotto535,00802,main,Main numbers,1,2
lotto535,00802,main,Main numbers,2,18
lotto535,00802,main,Main numbers,3,23
lotto535,00802,main,Main numbers,4,31
lotto535,00802,main,Main numbers,5,33
lotto535,00802,bonus,Bonus numbers,1,2
